relevance,query,document_title,document_id,page_nr,settings,num_times_retrieved,ranks
y,air infiltration standards,BS EN 13829-2001--[Determination of air permeability of buildings. Fan method].pdf,BS EN 13829-2001--,5,"['dense_DE', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_DE', 'dense_QE_DE']",5,"[1, 1, 1, 3, 1]"
y,air infiltration standards,BS EN 16893-2018_NR.pdf,BS EN 16893-2018,19,['sparse_DE'],1,[1]
n,air infiltration standards,BS EN 13829-2001--[Determination of air permeability of buildings. Fan method].pdf,BS EN 13829-2001--,18,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
y,air infiltration standards,BS EN 832-2000--[Thermal performance of residential buildings].pdf,BS EN 832-2000--,10,['sparse_DE_QE'],1,[3]
y,air infiltration standards,PD 6611-1997-Ventilation for buildings-Symbols and terminology.pdf,PD 6611-1997-,31,['sparse_DE_QE'],1,[2]
n,air infiltration standards,BS EN ISO 16000-10-2006--[Indoor air. Determination of the emission of volatile organic compounds from building products and furnishing. Emission test cell method].pdf,BS EN ISO 16000-10-2006--,17,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 2]"
n,air infiltration standards,BS EN ISO 8990-1996--[Determination of steady-state thermal transmission properties].pdf,BS EN ISO 8990-1996--,18,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[3, 3, 3]"
y,air infiltration standards,BS EN 13829-2001--[Determination of air permeability of buildings. Fan method].pdf,BS EN 13829-2001--,5,"['dense', 'dense_DE', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",12,"[1, 2, 1, 1, 1, 2, 1, 3, 1, 2, 3, 1]"
n,air infiltration standards,BS EN 16893-2018_NR.pdf,BS EN 16893-2018,19,"['dense', 'hybrid', 'sparse']",3,"[3, 3, 3]"
y,air infiltration standards,BS EN 16893-2018_NR.pdf,BS EN 16893-2018,19,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'sparse']",5,"[2, 3, 2, 3, 2]"
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,10,"['dense_QE', 'hybrid_QE']",2,"[2, 2]"
n,air pressure test for a house,BS 4422 (2005).pdf,BS 4422,48,['sparse_DE'],1,[3]
n,air pressure test for a house,BS EN 12845 (2015) + A1 2019.pdf,BS EN 12845,50,['sparse_DE'],1,[2]
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,8,"['dense', 'hybrid', 'sparse']",3,"[1, 1, 2]"
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,10,"['dense', 'dense_DE', 'dense_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",10,"[2, 1, 1, 2, 1, 1, 2, 1, 2, 1]"
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,10,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE']",4,"[3, 3, 3, 3]"
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,11,['sparse_DE_QE'],1,[3]
n,air pressure test for a house,BS EN ISO 16000-10-2006--[Indoor air. Determination of the emission of volatile organic compounds from building products and furnishing. Emission test cell method].pdf,BS EN ISO 16000-10-2006--,17,['sparse_DE_QE'],1,[2]
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,10,"['hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",3,"[1, 2, 1]"
n,air pressure test for a house,BS EN 1026-2016--[Windows and doors. Air permeability. Test method].pdf,BS EN 1026-2016--,10,"['dense_DE', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",6,"[2, 2, 3, 3, 3, 3]"
n,air pressure test for a house,BS EN 54-7 (2018)-Tracked Changes (TC).pdf,BS EN 54-7,22,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,air pressure test for a house,BS 8489-1-2016.pdf,BS 8489-1-2016,36,['sparse_DE'],1,[1]
y,air pressure test for a house,BS EN 15287-2-2008.pdf,BS EN 15287-2-2008,84,['sparse_DE_QE'],1,[1]
n,"air tightness, requirements of building junctions",BS 6173-2020_NR.pdf,BS 6173-2020,8,"['dense_DE', 'hybrid_DE', 'hybrid_QE_DE', 'dense_QE_DE']",4,"[1, 1, 2, 2]"
